dataSize,responseTime
1500,6.6641
1500,6.9454
1500,6.7715
1500,6.9128
1500,6.6195
1500,7.4694
1500,6.9373
1500,6.8583
1500,7.2952
1500,7.4248
1500,7.1204
1500,7.3794
1500,7.3080
1500,7.1513
1500,8.8096
1500,9.8289
1500,8.7253
1500,8.6908
1500,9.3527
1500,8.7294
1500,9.3740
1500,9.9545
1500,7.8455
1500,9.6828
1500,7.9067
1500,10.0321
1500,10.0477
1500,9.9158
1500,9.7716
1500,7.9153
1500,11.0052
1500,10.1830
1500,10.3043
1500,10.2218
1500,10.2024
1500,10.1863
1500,8.4190
1500,14.0028
1500,13.2883
1500,11.8343
1500,12.3785
1500,14.5675
1500,11.8260
1500,14.1623
1500,12.0643
1500,14.4095
1500,12.4104
1500,12.5510
1500,14.8398
1500,14.5710
1500,12.5710
1500,14.4023
1500,14.3473
1500,12.2580
1500,11.6775
1500,20.9785
1500,14.3062
1500,20.3874
1500,11.4473
1500,12.5947
1500,13.3982
1500,12.6028
1500,13.4990
1500,12.4100
1500,11.9663
1500,12.1153
1500,11.5199
1500,14.9818
1500,14.6626
1500,14.3833
1500,11.7338
1500,12.3694
1500,12.6043
1500,11.8614
1500,12.1152
1500,11.6111
1500,11.8661
1500,11.7589
1500,12.3739
1500,21.6278
1500,12.6102
1500,12.5568
1500,15.4733
1500,12.8803
1500,11.1103
1500,63.8905
1500,15.5357
1500,15.5930
1500,14.5611
1500,9.9893
1500,14.4443
1500,10.1916
1500,10.4173
1500,9.6104
1500,10.2773
1500,10.1923
1500,10.0778
1500,9.5364
1500,9.9421
1500,9.8662
1500,9.6864
1500,10.0506
1500,8.6642
1500,9.7059
1500,9.5351
1500,9.6589
1500,10.2686
1500,9.1918
1500,9.3833
1500,9.7798
1500,9.1465
1500,9.3662
1500,9.5529
1500,8.9350
1500,9.6454
1500,10.2713
1500,9.8412
1500,9.8426
1500,10.2829
1500,8.8058
1500,9.7391
1500,10.8362
1500,9.0202
1500,9.3182
1500,9.2374
1500,9.8925
1500,8.6320
1500,9.6961
1500,8.9347
1500,9.3223
1500,9.0901
1500,9.4019
1500,9.0988
1500,9.5472
1500,8.9900
1500,1.9405
1500,18.6078
1500,19.0418
1500,18.7528
1500,18.5413
1500,17.6612
1500,18.8473
1500,18.8333
1500,19.0916
1500,17.7593
1500,18.6550
1500,19.1141
1500,18.6630
1500,18.4820
1500,19.1374
1500,18.9233
1500,17.7913
1500,18.6164
1500,18.4036
1500,18.8002
1500,18.9205
1500,18.7928
1500,18.8813
1500,18.6737
1500,18.7634
1500,18.7358
1500,18.4707
1500,18.5825
1500,18.5850
1500,17.8975
1500,18.4605
1500,18.5198
1500,19.2863
1500,18.5772
1500,18.5707
1500,18.6468
1500,19.3362
1500,18.4801
1500,18.6162
1500,18.4597
1500,18.4409
1500,18.5100
1500,19.1593
1500,18.9239
1500,19.1156
1500,18.6874
1500,18.5771
1500,18.7023
1500,18.5120
1500,18.6675
1500,2.2042
1500,16.6922
1500,17.0075
1500,16.2482
1500,6.2330
1500,18.5010
1500,17.2873
1500,20.2161
1500,8.8317
1500,20.0123
1500,19.5630
1500,8.7495
1500,8.5964
1500,8.7173
1500,9.0636
1500,8.5196
1500,8.5628
1500,9.4317
1500,8.7456
1500,8.8595
1500,8.7554
1500,8.7238
1500,8.9007
1500,8.8115
1500,8.9486
1500,8.9967
1500,8.8115
1500,8.9591
1500,9.3823
1500,8.8286
1500,8.9659
1500,8.9743
1500,8.9412
1500,9.6984
1500,9.6846
1500,9.6183
1500,10.0475
1500,9.9393
1500,9.6820
1500,9.8014
1500,10.0032
1500,9.7315
1500,9.8283
1500,9.8016
1500,9.7575
1500,9.9244
1500,9.9168
1500,9.9450
1500,9.9199
1500,9.8335
1500,0.8364
1500,9.2360
1500,10.8100
1500,9.2598
1500,9.2490
1500,10.0828
1500,9.0355
1500,9.1370
1500,10.6277
1500,11.7296
1500,10.4170
1500,14.6118
1500,14.5490
1500,10.2497
1500,10.2542
1500,14.1212
1500,14.8143
1500,10.6468
1500,10.5772
1500,10.7245
1500,12.5752
1500,10.9756
1500,10.8383
1500,13.8137
1500,12.7783
1500,10.5092
1500,12.2185
1500,11.9598
1500,12.9894
1500,12.5910
1500,12.6639
1500,16.2224
1500,11.2615
1500,13.1791
1500,10.7079
1500,10.8320
1500,10.4445
1500,12.2624
1500,11.2376
1500,14.9184
1500,10.8596
1500,14.2761
1500,10.7357
1500,12.7245
1500,10.9974
1500,12.5708
1500,11.8020
1500,11.3310
1500,14.6637
1500,12.0807
1500,71.4518
1500,5.3714
1500,11.5004
